"site_code","date_index","one_week_date","Log10_NoV_norm","Easting","Northing","carehome_density","school_density","BAME","prop_urb","lockdown_lifting","lockdown_step3","lockdown_step4","lockdown_planB","mobility","imd_score","rain_rolling_7day","temp_rolling_7day","nov_3week"
"UKENNE_NU_TP000048",1,"24/05/2021",NA,432099,550801,29.54646399,85.592695,0.024057559,0.424661591,0,1,0,0,-21.98891205,27.12245823,3.44252857142857e-05,281.7454269,NA
"UKENNE_NU_TP000051",1,"24/05/2021",NA,428919,511531,31.93132179,104.4386365,0.060483288,0.462740355,0,1,0,0,-17.6709892,25.27531857,4.49551428571427e-05,281.9692183,NA
"UKENNE_NU_TP000055",1,"24/05/2021",NA,432799,555701,13.14090019,109.9959099,0.028360277,0.57870398,0,1,0,0,-22.66811445,25.69684192,3.12092857142857e-05,281.848337,NA
"UKENNE_YW_TP000029",1,"24/05/2021",NA,460089,447151,16.59852124,80.06870015,0.083404073,0.624515425,0,1,0,0,-30.9811226,14.24008091,2.20094000000001e-05,282.0563026,NA
"UKENNE_YW_TP000054",1,"24/05/2021",NA,444556,394415,41.93055737,103.7663167,0.180678185,0.652855444,0,1,0,0,-15.47997621,39.79301246,4.10947571428572e-05,282.2961996,NA
"UKENNE_YW_TP000057",1,"24/05/2021",NA,439589,391567,19.92055596,81.87066955,0.251070927,0.657363729,0,1,0,0,-26.24003889,28.83307337,2.93859e-05,282.3161941,NA
"UKENNE_YW_TP000063",1,"24/05/2021",NA,435069,420411,19.64387808,93.45485541,0.168152946,0.58220391,0,1,0,0,-19.8111755,26.5010782,3.20201857142858e-05,282.3506468,NA
"UKENNE_YW_TP000082",1,"24/05/2021",2.987183824,418979,438751,17.59225869,99.04151872,0.509862881,0.691790419,0,1,0,0,-22.05935317,39.24685492,1.75330428571428e-05,282.0948009,2.987183824
"UKENNE_YW_TP000086",1,"24/05/2021",NA,409249,422391,28.14318447,95.98403096,0.233704159,0.649524627,0,1,0,0,-15.78935972,31.93961396,1.50816142857143e-05,282.0066029,NA
"UKENNE_YW_TP000094",1,"24/05/2021",NA,418099,420701,35.31851041,71.83900201,0.295316122,0.507159654,0,1,0,0,-16.41443679,26.74627319,2.48058999999999e-05,282.1571018,NA
"UKENNE_YW_TP000095",1,"24/05/2021",3.547733582,516284,429068,33.47798658,82.82710856,0.074934863,0.676162975,0,1,0,0,-15.47546383,33.64078702,1.15431428571428e-05,281.8668388,3.547733582
"UKENNE_YW_TP000096",1,"24/05/2021",NA,408519,441231,25.59651376,84.12565535,0.292178441,0.658096123,0,1,0,0,-21.84940931,34.8960631,1.04674714285715e-05,281.9898805,NA
"UKENNE_YW_TP000098",1,"24/05/2021",2.462898439,434649,430711,18.03331756,94.80408727,0.261876444,0.588059706,0,1,0,0,-29.43191753,31.55478997,2.27601857142858e-05,282.0672228,2.462898439
"UKENNE_YW_TP000102",1,"24/05/2021",NA,437799,407001,27.54150513,114.0337553,0.043859437,0.741665189,0,1,0,0,-16.45437748,33.55902994,4.30857571428572e-05,282.3071344,NA
"UKENNE_YW_TP000107",1,"24/05/2021",3.151602837,426089,419971,26.39082639,85.26897318,0.305480682,0.667097562,0,1,0,0,-17.66566236,30.03544021,2.44073285714284e-05,282.4229978,3.151602837
"UKENNE_YW_TP000112",1,"24/05/2021",NA,439229,374651,38.08772816,73.4677087,0.049250312,0.687599643,0,1,0,0,-16.83418311,22.83924006,2.18916142857141e-05,282.2309825,NA
