...1,X.3,X.2,site_code,X.1,X,sample_id,sample_collection_date_time,Week_date,ammonia_mg_l,ophosph_mg_l,GI_ND,GI_lower_LOQ,GII_ND,GII_lower_LOQ,GI_per_litre,GII_per_litre,Log10_GI,Log10_GII,Log10_NoV,Log10_GI_norm,Log10_GII_norm,Log10_NoV_norm,site_name,site_type,water_company_name,catchment_population_ons_mid_2019,grab_compo_ind,region,collection_date,week_beginning,avg_Log10_NoV,date,imd,bame,school_den,carehome_den,prop_agri,prop_urb,mob_7day,temp_2,temp_3,temp_1,temp_4,temp_5,rain_1,rain_2,rain_3,rain_4,rain_5,lockdown_NA,lockdown_step3,lockdown_step4,lockdown_planB,lockdown_lifting,lockdown_planA,scale_school_den,scale_carehome_den,scale_imd,scale_bame,scale_mob_7day,scale_prop_agri,scale_prop_urb,row_id,Easting,Northing,fold.x,stacked_pred,fold.y,Bias,week,ci_lower,ci_upper
148,154,154,UKENAN_AW_TP000023,31,34,2106010-45,31/05/2021 10:15,27/05/2021,40,4.099999905,FALSE,TRUE,FALSE,FALSE,1140,282060.1745,3.056904851,5.45034177,5.452093517,3.486086645,5.879523563,5.88127531,BOSTON STW,SEWAGE TREATMENT PLANT,Anglian Water,38150,Grab,East Midlands,2021-05-31,2021-05-31,5.88127531,2021-05-31,22.9313483815164,0.0482356843490469,96.9855832241153,28.8335517693316,0,0.44278028316764,-8.14285714285714,2,1,1,1,1,1,2,1,1,1,0,1,0,0,0,0,0.872960262536954,0.0830669257431102,0.0231842890542701,-0.794165098547448,1.70308413163454,-1.05905359499787,-1.02423160722102,21,535699,340996,3,4.624110978153431,3,1.2571643318465693,2,3.287303712257325,4.73540922930645
149,155,155,UKENAN_AW_TP000037,51,54,2106057-45,31/05/2021 09:58,27/05/2021,33,2.299999952,FALSE,TRUE,FALSE,FALSE,1140,9338.672148,3.056904851,3.970285129,4.020306253,2.939909667,3.853289944,3.903311068,WELLINGBOROUGH STW,SEWAGE TREATMENT PLANT,Anglian Water,208434,Grab,East Midlands,2021-05-31,2021-05-31,3.903311068,2021-05-31,20.3232532259418,0.108279740558344,100.271548787626,43.6589040175787,0.121742392209145,0.469652264104324,-26.1210455328487,1,1,2,1,1,1,2,1,1,1,0,1,0,0,0,0,1.01889249782669,1.22116074015485,-0.324875732318488,-0.280706198664959,-0.216353633451617,-0.112590975081778,-0.881130795830171,22,493847,268578,9,4.383315601503315,9,-0.4800045335033154,2,3.287303712257325,4.73540922930645
150,156,156,UKENAN_AW_TP000050,65,68,2106204-41,31/05/2021 10:36,27/05/2021,48,3.9000000950000002,FALSE,FALSE,FALSE,FALSE,103428.1632,14138.43163,5.014638812,4.150401236,5.07028394,4.842047974,3.977810398,4.897693102,CAMBRIDGE STW,SEWAGE TREATMENT PLANT,Anglian Water,161208,Grab,East of England,2021-05-31,2021-05-31,4.897693102,2021-05-31,13.0600862826663,0.207259064101211,76.9192595900948,17.3688650687311,0.0787752501958013,0.535729004445361,-30.102764308158,2,1,1,1,1,1,2,1,1,1,0,1,0,0,0,0,-0.0182004649148929,-0.797039583676574,-1.29417243765799,0.565702551608048,-0.64146105926633,-0.44663068846603,-0.529253679694063,23,547187,261751,8,3.4602302206478646,8,1.4374628813521353,2,3.287303712257325,4.73540922930645
151,157,157,UKENAN_AW_TP000051,98,101,2106016-45,31/05/2021 09:30,27/05/2021,57,3.5,FALSE,FALSE,FALSE,FALSE,14110.70259,39647.31411,4.149548638,4.598213772,4.730443238,4.215214288,4.663879421,4.796108887,CHALTON STW,SEWAGE TREATMENT PLANT,Anglian Water,112126,Grab,East of England,2021-05-31,2021-05-31,4.796108887,2021-05-31,26.1659737867897,0.471946268255862,138.237340135205,36.56600610028,0.0715350128821392,0.608235937315321,-28.4867167840896,2,1,1,1,1,1,2,1,1,1,0,1,0,0,0,0,2.70498222969127,0.676662160238411,0.454857107925885,2.82914058758096,-0.468924061623239,-0.502918509432539,-0.143133990579939,24,502806,226864,4,4.128865925624173,4,0.6672429613758268,2,3.287303712257325,4.73540922930645
152,158,158,UKENAN_AW_TP000055,121,124,2106017-45,31/05/2021 11:21,27/05/2021,58,4.699999809,FALSE,FALSE,FALSE,FALSE,60458.56511,444874.0496,4.781457836,5.648237073,5.703577329,4.618392816,5.485172053,5.540512309,CHELMSFORD STW,SEWAGE TREATMENT PLANT,Anglian Water,137741,Grab,East of England,2021-05-31,2021-05-31,5.540512309,2021-05-31,12.6863714497377,0.124066596780357,82.7640281397696,12.3420041962814,0.173066663051214,0.435855357573084,-29.3524849974794,2,1,1,1,1,1,2,1,1,1,0,1,0,0,0,0,0.241370161349957,-1.18293525543168,-1.34404607530439,-0.145706960770323,-0.56135763549305,0.286419615764971,-1.06110877209164,25,573806,206725,7,4.516018859243861,7,1.0244934497561395,2,3.287303712257325,4.73540922930645
153,159,159,UKENAN_AW_TP000063,135,138,2106205-29,31/05/2021 08:22,27/05/2021,34,3.5999999049999998,FALSE,FALSE,FALSE,FALSE,31083.6652,27154.54268,4.492532223,4.433842493,4.765208002,4.459600627,4.400910897,4.732276406,COLCHESTER STW,SEWAGE TREATMENT PLANT,Anglian Water,147803,Grab,East of England,2021-05-31,2021-05-31,4.732276406,2021-05-31,17.9788368456832,0.154443361165487,66.3044728456121,36.5351176904393,0.138612273762734,0.612357017693693,-29.3381663038032,2,1,1,1,1,1,2,1,1,1,0,1,0,0,0,0,-0.489611234993463,0.674290958017508,-0.637746838142721,0.114055970115138,-0.559828902964906,0.018560647645121,-0.121188085388154,26,602226,223615,10,4.061518818238714,10,0.6707575877612868,2,3.287303712257325,4.73540922930645
154,160,160,UKENAN_AW_TP000069,167,170,2106043-45,31/05/2021 09:00,27/05/2021,65,6.699999809,TRUE,TRUE,TRUE,TRUE,950,670,2.977723605,2.826074803,3.209515015,2.549153804,2.397505002,2.780945214,MILTON KEYNES STW,SEWAGE TREATMENT PLANT,Anglian Water,247619,Grab,South East,2021-05-31,2021-05-31,2.780945214,2021-05-31,17.0544480367932,0.272526060776713,83.5961699223404,16.5576954918645,0.141708309540532,0.525628928221041,-30.0749016224821,2,1,1,1,1,1,2,1,1,1,0,1,0,0,0,0,0.278326212185378,-0.859310419634621,-0.761109970768957,1.12382474433307,-0.638486305082924,0.0426301774156108,-0.583039409380874,27,488411,240500,3,3.097915207699502,3,-0.3169699936995021,2,3.287303712257325,4.73540922930645
155,161,161,UKENAN_AW_TP000082,176,179,2106022-45,31/05/2021 08:37,27/05/2021,44,3,FALSE,FALSE,FALSE,FALSE,11353.9673,5733.327435,4.055147639,3.758406745,4.232673311,5.092078673,4.795337779,5.269604345,DOWNHAM MARKET STW,SEWAGE TREATMENT PLANT,Anglian Water,12565,Grab,East of England,2021-05-31,2021-05-31,5.269604345,2021-05-31,20.4756309569196,0.0247142730374042,71.6275368085953,31.8344608038201,0.095292609223445,0.272486923741571,-14,2,1,1,1,1,1,2,1,1,1,0,1,0,0,0,0,-0.253209907074964,0.313436899594322,-0.304540356062179,-0.995305373509244,1.07774742074751,-0.31821968375584,-1.93109135700138,28,560459,304206,10,4.53464001538434,10,0.7349643296156607,2,3.287303712257325,4.73540922930645
156,162,162,UKENAN_AW_TP000107,197,200,2106045-45,31/05/2021 09:33,27/05/2021,34,3,FALSE,FALSE,FALSE,FALSE,2689.756628,3813.366848,3.429712986,3.581308587,3.813122,3.168347583,3.319943183,3.551756597,NORTHAMPTON STW,SEWAGE TREATMENT PLANT,Anglian Water,254583,Grab,East Midlands,2021-05-31,2021-05-31,3.551756597,2021-05-31,20.817714699368,0.175533236185186,85.2374274794468,31.8167356029271,0.196774376287577,0.417050818148881,-29.9380387640464,1,1,2,1,1,1,2,1,1,1,0,1,0,0,0,0,0.351215711288594,0.312076193881719,-0.258888005359648,0.294403280239019,-0.623874168786409,0.470730634915636,-1.16124820192285,29,481616,261993,1,4.177689137205942,1,-0.6259325402059419,2,3.287303712257325,4.73540922930645
157,163,163,UKENAN_AW_TP000115,226,229,2106025-48,31/05/2021 10:46,27/05/2021,20,5.400000095,FALSE,FALSE,FALSE,FALSE,2580.831639,295971.2884,3.411759674,5.471249583,5.47502016,3.504107819,5.563597727,5.567368304,GREAT YARMOUTH CAISTER STW,SEWAGE TREATMENT PLANT,Anglian Water,94856,Grab,East of England,2021-05-31,2021-05-31,5.567368304,2021-05-31,32.9131510307812,0.0461205365312178,93.8264316437547,41.1149531922071,0.322882539141358,0.421688203279163,-26.5527199474501,1,1,2,1,1,1,1,2,1,1,0,1,0,0,0,0,0.732659932898509,1.02586995380167,1.35529306430957,-0.812252508695852,-0.262441267846894,1.45113409209716,-1.13655282957799,30,651859,311135,10,4.84352572736057,10,0.7238425766394307,2,3.287303712257325,4.73540922930645
