"X","site_code","dailyrain","date","X.1","rain_rolling_7day","weekday"
770,"UKENAN_AW_TP000037",0.001411546,"2021-08-02",NA,0.000991054142857143,"Mon"
777,"UKENAN_AW_TP000037",0.010327089,"2021-08-09",NA,0.002292288,"Mon"
784,"UKENAN_AW_TP000037",0.003149959,"2021-08-16",NA,0.00197996271428571,"Mon"
791,"UKENAN_AW_TP000037",0.001343096,"2021-08-23",NA,0.00190726514285714,"Mon"
798,"UKENAN_AW_TP000037",2.41e-05,"2021-08-30",NA,0.000333372714285714,"Mon"
805,"UKENAN_AW_TP000037",0.002011031,"2021-09-06",NA,0.00167263314285714,"Mon"
812,"UKENAN_AW_TP000037",0.002206103,"2021-09-13",NA,0.000648413428571429,"Mon"
819,"UKENAN_AW_TP000037",0.000114853,"2021-09-20",NA,0.000187970285714286,"Mon"
826,"UKENAN_AW_TP000037",0.007366746,"2021-09-27",NA,0.00261202071428571,"Mon"
833,"UKENAN_AW_TP000037",0.000923247,"2021-10-04",NA,0.00127467714285714,"Mon"
840,"UKENAN_AW_TP000037",0.000476312,"2021-10-11",NA,0.000893578285714286,"Mon"
847,"UKENAN_AW_TP000037",2.5e-06,"2021-10-18",NA,0.000307683142857143,"Mon"
854,"UKENAN_AW_TP000037",0.0009352,"2021-10-25",NA,0.000272122428571429,"Mon"
861,"UKENAN_AW_TP000037",3.62e-06,"2021-11-01",NA,0.000500060714285714,"Mon"
868,"UKENAN_AW_TP000037",0.0024182,"2021-11-08",NA,0.00204667757142857,"Mon"
875,"UKENAN_AW_TP000037",0.000301929,"2021-11-15",NA,0.000938847928571429,"Mon"
882,"UKENAN_AW_TP000037",0.000532795,"2021-11-22",NA,0.000607240571428572,"Mon"
889,"UKENAN_AW_TP000037",0.001851947,"2021-11-29",NA,0.00275184342857143,"Mon"
896,"UKENAN_AW_TP000037",0.000989971,"2021-12-06",NA,0.000303440571428572,"Mon"
903,"UKENAN_AW_TP000037",4.61e-05,"2021-12-13",NA,2.36871428571431e-05,"Mon"
910,"UKENAN_AW_TP000037",0.02052382,"2021-12-20",NA,0.00424809685714286,"Mon"
917,"UKENAN_AW_TP000037",0.001429212,"2021-12-27",NA,0.00138177714285714,"Mon"
924,"UKENAN_AW_TP000037",9.13e-05,"2022-01-03",NA,0.000674985,"Mon"
931,"UKENAN_AW_TP000037",3.35e-05,"2022-01-10",NA,0.000269518142857143,"Mon"
938,"UKENAN_AW_TP000037",5.62e-05,"2022-01-17",NA,2.74585714285715e-05,"Mon"
945,"UKENAN_AW_TP000037",7.26e-07,"2022-01-24",NA,0.000222595142857143,"Mon"
952,"UKENAN_AW_TP000037",0.000637748,"2022-01-31",NA,0.002015857,"Mon"
959,"UKENAN_AW_TP000037",4.14e-05,"2022-02-07",NA,0.000886642285714286,"Mon"
966,"UKENAN_AW_TP000037",2.36e-05,"2022-02-14",NA,0.000575823714285714,"Mon"
973,"UKENAN_AW_TP000037",0.000707443,"2022-02-21",NA,0.00201817514285714,"Mon"
980,"UKENAN_AW_TP000037",1.69e-05,"2022-02-28",NA,0.00167882028571429,"Mon"
987,"UKENAN_AW_TP000037",0.000567531,"2022-03-07",NA,0.000216176142857143,"Mon"
994,"UKENAN_AW_TP000037",0.000624678,"2022-03-14",NA,0.00341785965714286,"Mon"
