"site_code","date","weighted_mobility"
"UKENAN_AW_TP000051","2022-03-28",-13.1799259425793
"UKENAN_AW_TP000051","2022-04-04",-19.6675440774763
"UKENAN_AW_TP000051","2022-04-11",-20.920895146961
"UKENAN_AW_TP000051","2022-04-18",-29.1281699499236
"UKENAN_AW_TP000051","2022-04-25",-11.7167150645729
"UKENAN_AW_TP000055","2021-05-03",0
"UKENAN_AW_TP000055","2021-05-10",-29.0866929091844
"UKENAN_AW_TP000055","2021-05-17",-28.0925833119849
"UKENAN_AW_TP000055","2021-05-24",-25.682980120249
"UKENAN_AW_TP000055","2021-05-31",-36.5645500280759
"UKENAN_AW_TP000055","2021-06-07",-26.265407277648
"UKENAN_AW_TP000055","2021-06-14",-22.7023238143884
"UKENAN_AW_TP000055","2021-06-21",-23.1314128345996
"UKENAN_AW_TP000055","2021-06-28",-23.2772070026245
"UKENAN_AW_TP000055","2021-07-05",-23.9889725029033
"UKENAN_AW_TP000055","2021-07-12",-24.8448024731781
"UKENAN_AW_TP000055","2021-07-19",-28.8454778441145
"UKENAN_AW_TP000055","2021-07-26",-32.1296116774139
"UKENAN_AW_TP000055","2021-08-02",-33.6930725759842
"UKENAN_AW_TP000055","2021-08-09",-33.8439347855754
"UKENAN_AW_TP000055","2021-08-16",-32.4190980940505
"UKENAN_AW_TP000055","2021-08-23",-32.8439109403318
"UKENAN_AW_TP000055","2021-08-30",-34.4275613665065
"UKENAN_AW_TP000055","2021-09-06",-24.1306580528479
"UKENAN_AW_TP000055","2021-09-13",-23.9913214814559
"UKENAN_AW_TP000055","2021-09-20",-24.4204510841153
"UKENAN_AW_TP000055","2021-09-27",-24.8439950154071
"UKENAN_AW_TP000055","2021-10-04",-25.6959832643519
"UKENAN_AW_TP000055","2021-10-11",-23.5596920245674
"UKENAN_AW_TP000055","2021-10-18",-23.8476436962857
"UKENAN_AW_TP000055","2021-10-25",-32.979841511246
"UKENAN_AW_TP000055","2021-11-01",-25.8462274052398
"UKENAN_AW_TP000055","2021-11-08",-22.9953097900619
"UKENAN_AW_TP000055","2021-11-15",-22.5653284393869
"UKENAN_AW_TP000055","2021-11-22",-22.4223385152042
"UKENAN_AW_TP000055","2021-11-29",-23.5658688509584
"UKENAN_AW_TP000055","2021-12-06",-22.8493977251709
"UKENAN_AW_TP000055","2021-12-13",-23.8407640579843
"UKENAN_AW_TP000055","2021-12-20",-32.9841458047337
"UKENAN_AW_TP000055","2021-12-27",-66.015056531754
"UKENAN_AW_TP000055","2022-01-03",-44.9993995431592
"UKENAN_AW_TP000055","2022-01-10",-23.5642663130479
"UKENAN_AW_TP000055","2022-01-17",-23.1340375652082
"UKENAN_AW_TP000055","2022-01-24",-22.5593965006935
"UKENAN_AW_TP000055","2022-01-31",-22.1277683046232
"UKENAN_AW_TP000055","2022-02-07",-21.9870815526501
"UKENAN_AW_TP000055","2022-02-14",-28.8405610637775
"UKENAN_AW_TP000055","2022-02-21",-25.2778743786366
"UKENAN_AW_TP000055","2022-02-28",-21.4131111375351
"UKENAN_AW_TP000055","2022-03-07",-20.7081623503133
"UKENAN_AW_TP000055","2022-03-14",-21.2816264768981
"UKENAN_AW_TP000055","2022-03-21",-21.7107974469888
"UKENAN_AW_TP000055","2022-03-28",-21.7017547501197
"UKENAN_AW_TP000055","2022-04-04",-28.5533372859601
"UKENAN_AW_TP000055","2022-04-11",-30.9806196586388
"UKENAN_AW_TP000055","2022-04-18",-37.433878497059
"UKENAN_AW_TP000055","2022-04-25",-18.8444207522115
"UKENAN_AW_TP000063","2021-05-03",0
"UKENAN_AW_TP000063","2021-05-10",-29.5658201152078
"UKENAN_AW_TP000063","2021-05-17",-28.7291929441167
"UKENAN_AW_TP000063","2021-05-24",-26.7086772580649
"UKENAN_AW_TP000063","2021-05-31",-39.3252403388074
"UKENAN_AW_TP000063","2021-06-07",-28.133145549426
"UKENAN_AW_TP000063","2021-06-14",-25.8310187148703
"UKENAN_AW_TP000063","2021-06-21",-26.8146061660289
"UKENAN_AW_TP000063","2021-06-28",-27.4188598351403
"UKENAN_AW_TP000063","2021-07-05",-28.3450033653539
"UKENAN_AW_TP000063","2021-07-12",-28.3819316002471
"UKENAN_AW_TP000063","2021-07-19",-31.9656695833068
"UKENAN_AW_TP000063","2021-07-26",-35.6799552975925
"UKENAN_AW_TP000063","2021-08-02",-35.8063998916082
"UKENAN_AW_TP000063","2021-08-09",-36.6676458859614
"UKENAN_AW_TP000063","2021-08-16",-36.5937894161751
"UKENAN_AW_TP000063","2021-08-23",-36.6143051022268
"UKENAN_AW_TP000063","2021-08-30",-37.6799552975925
"UKENAN_AW_TP000063","2021-09-06",-27.6307176510682
"UKENAN_AW_TP000063","2021-09-13",-28.3491065025643
"UKENAN_AW_TP000063","2021-09-20",-28.6102019650165
"UKENAN_AW_TP000063","2021-09-27",-28.6430270626993
"UKENAN_AW_TP000063","2021-10-04",-28.1413518238467
"UKENAN_AW_TP000063","2021-10-11",-27.545304429156
"UKENAN_AW_TP000063","2021-10-18",-27.1372486866364
"UKENAN_AW_TP000063","2021-10-25",-35.0025978181999
"UKENAN_AW_TP000063","2021-11-01",-30.0067009554103
"UKENAN_AW_TP000063","2021-11-08",-25.7415023557478
"UKENAN_AW_TP000063","2021-11-15",-26.5986452128906
"UKENAN_AW_TP000063","2021-11-22",-26.5050257165577
"UKENAN_AW_TP000063","2021-11-29",-26.8071525511134
"UKENAN_AW_TP000063","2021-12-06",-25.5214382653991
"UKENAN_AW_TP000063","2021-12-13",-26.5740263896285
"UKENAN_AW_TP000063","2021-12-20",-36.7981936171875
"UKENAN_AW_TP000063","2021-12-27",-66.896668910236
"UKENAN_AW_TP000063","2022-01-03",-47.0190103670413
"UKENAN_AW_TP000063","2022-01-10",-27.3047246527556
"UKENAN_AW_TP000063","2022-01-17",-25.8638438125531
"UKENAN_AW_TP000063","2022-01-24",-26.0272166414621
"UKENAN_AW_TP000063","2022-01-31",-24.4639943444542
"UKENAN_AW_TP000063","2022-02-07",-25.0354229158828
"UKENAN_AW_TP000063","2022-02-14",-31.1741769215295
"UKENAN_AW_TP000063","2022-02-21",-29.0190103670413
"UKENAN_AW_TP000063","2022-02-28",-24.0354229158828
"UKENAN_AW_TP000063","2022-03-07",-24.0518354647242
"UKENAN_AW_TP000063","2022-03-14",-24.0682480135656
"UKENAN_AW_TP000063","2022-03-21",-24.0805574251966
"UKENAN_AW_TP000063","2022-03-28",-24.6191608989424
"UKENAN_AW_TP000063","2022-04-04",-31.7497086301685
"UKENAN_AW_TP000063","2022-04-11",-33.41475669793
"UKENAN_AW_TP000063","2022-04-18",-39.9943915437792
"UKENAN_AW_TP000063","2022-04-25",-22.1454549610571
"UKENAN_AW_TP000069","2021-05-03",0
"UKENAN_AW_TP000069","2021-05-10",-25.6008344932484
"UKENAN_AW_TP000069","2021-05-17",-25.1410071848825
"UKENAN_AW_TP000069","2021-05-24",-24.5386352809718
"UKENAN_AW_TP000069","2021-05-31",-35.509403895184
"UKENAN_AW_TP000069","2021-06-07",-24.4140162525823
"UKENAN_AW_TP000069","2021-06-14",-22.2210730492315
"UKENAN_AW_TP000069","2021-06-21",-23.3522866396132
"UKENAN_AW_TP000069","2021-06-28",-23.225728228583
"UKENAN_AW_TP000069","2021-07-05",-23.4006453792807
"UKENAN_AW_TP000069","2021-07-12",-23.9512153504964
"UKENAN_AW_TP000069","2021-07-19",-28.113196256593
"UKENAN_AW_TP000069","2021-07-26",-30.6435965523194
"UKENAN_AW_TP000069","2021-08-02",-31.335809478338
"UKENAN_AW_TP000069","2021-08-09",-31.7679635023845
"UKENAN_AW_TP000069","2021-08-16",-31.5041657955959
"UKENAN_AW_TP000069","2021-08-23",-31.2049944716096
"UKENAN_AW_TP000069","2021-08-30",-34.0649327317048
"UKENAN_AW_TP000069","2021-09-06",-24.1553348026742
"UKENAN_AW_TP000069","2021-09-13",-23.7877669636964
"UKENAN_AW_TP000069","2021-09-20",-24.7367433621654
"UKENAN_AW_TP000069","2021-09-27",-24.4648601158191
"UKENAN_AW_TP000069","2021-10-04",-24.2044089181511
"UKENAN_AW_TP000069","2021-10-11",-22.9145288320889
"UKENAN_AW_TP000069","2021-10-18",-23.6130005631715
"UKENAN_AW_TP000069","2021-10-25",-29.1971181358289
"UKENAN_AW_TP000069","2021-11-01",-24.9920030701845
"UKENAN_AW_TP000069","2021-11-08",-22.2346013600642
"UKENAN_AW_TP000069","2021-11-15",-21.5354699770157
"UKENAN_AW_TP000069","2021-11-22",-20.7613397274551
"UKENAN_AW_TP000069","2021-11-29",-19.9943206025788
"UKENAN_AW_TP000069","2021-12-06",-20.5042831018526
"UKENAN_AW_TP000069","2021-12-13",-21.7796086985727
"UKENAN_AW_TP000069","2021-12-20",-28.5011927919841
"UKENAN_AW_TP000069","2021-12-27",-62.9746911426505
"UKENAN_AW_TP000069","2022-01-03",-43.2630553518629
"UKENAN_AW_TP000069","2022-01-10",-24.2205013207134
"UKENAN_AW_TP000069","2022-01-17",-23.8731240642109
"UKENAN_AW_TP000069","2022-01-24",-24.2739555662821
"UKENAN_AW_TP000069","2022-01-31",-22.853890926385
"UKENAN_AW_TP000069","2022-02-07",-22.5692434807422
"UKENAN_AW_TP000069","2022-02-14",-24.1074760623621
"UKENAN_AW_TP000069","2022-02-21",-27.8383468798239
"UKENAN_AW_TP000069","2022-02-28",-22.8654631785699
"UKENAN_AW_TP000069","2022-03-07",-21.485848042796
"UKENAN_AW_TP000069","2022-03-14",-21.2527541522151
"UKENAN_AW_TP000069","2022-03-21",-22.3404628532566
"UKENAN_AW_TP000069","2022-03-28",-22.0619281067497
"UKENAN_AW_TP000069","2022-04-04",-23.2932841164888
"UKENAN_AW_TP000069","2022-04-11",-27.4774886619249
"UKENAN_AW_TP000069","2022-04-18",-40.6092033394514
"UKENAN_AW_TP000069","2022-04-25",-20.504348855424
"UKENAN_AW_TP000082","2021-05-03",0
"UKENAN_AW_TP000082","2021-05-10",-12.0107696792808
"UKENAN_AW_TP000082","2021-05-17",-9.73912425158545
"UKENAN_AW_TP000082","2021-05-24",-8.1751348286643
"UKENAN_AW_TP000082","2021-05-31",-20.7598228191158
"UKENAN_AW_TP000082","2021-06-07",-7.62540819389878
"UKENAN_AW_TP000082","2021-06-14",-5.33336894603073
"UKENAN_AW_TP000082","2021-06-21",-6.06551536042406
"UKENAN_AW_TP000082","2021-06-28",-5.77656933286978
"UKENAN_AW_TP000082","2021-07-05",-7.04966139858179
"UKENAN_AW_TP000082","2021-07-12",-7.33127909484965
"UKENAN_AW_TP000082","2021-07-19",-10.4666970891994
"UKENAN_AW_TP000082","2021-07-26",-15.8963827041245
"UKENAN_AW_TP000082","2021-08-02",-17.1904286902578
"UKENAN_AW_TP000082","2021-08-09",-17.4699288310394
"UKENAN_AW_TP000082","2021-08-16",-17.4687592360752
"UKENAN_AW_TP000082","2021-08-23",-16.6126751566755
"UKENAN_AW_TP000082","2021-08-30",-21.7519404017245
"UKENAN_AW_TP000082","2021-09-06",-8.8916212113521
"UKENAN_AW_TP000082","2021-09-13",-8.46954097076591
"UKENAN_AW_TP000082","2021-09-20",-8.48021186111332
"UKENAN_AW_TP000082","2021-09-27",-9.18051183029588
"UKENAN_AW_TP000082","2021-10-04",-10.6068825904652
"UKENAN_AW_TP000082","2021-10-11",-8.6123704093178
"UKENAN_AW_TP000082","2021-10-18",-9.0427823503231
"UKENAN_AW_TP000082","2021-10-25",-16.6102251495262
"UKENAN_AW_TP000082","2021-11-01",-11.6079136639032
"UKENAN_AW_TP000082","2021-11-08",-8.75079851106555
"UKENAN_AW_TP000082","2021-11-15",-9.45848222014503
"UKENAN_AW_TP000082","2021-11-22",-9.603512327099
"UKENAN_AW_TP000082","2021-11-29",-10.1675294543254
"UKENAN_AW_TP000082","2021-12-06",-8.60378937015147
"UKENAN_AW_TP000082","2021-12-13",-6.32255953415708
"UKENAN_AW_TP000082","2021-12-20",-16.169086909563
"UKENAN_AW_TP000082","2021-12-27",-57.8837387939607
"UKENAN_AW_TP000082","2022-01-03",-33.172906455957
"UKENAN_AW_TP000082","2022-01-10",-9.75099244120227
