,site_code,dailyrain,date,
146,UKENAN_AW_TP000016,0.000412742,23/09/2021,
147,UKENAN_AW_TP000016,0.00126539,24/09/2021,
148,UKENAN_AW_TP000016,0.001494345,25/09/2021,
149,UKENAN_AW_TP000016,0.002961392,26/09/2021,
150,UKENAN_AW_TP000016,0.00658882,27/09/2021,
151,UKENAN_AW_TP000016,0.00107988,28/09/2021,
152,UKENAN_AW_TP000016,0.003829901,29/09/2021,
153,UKENAN_AW_TP000016,0.001301122,30/09/2021,
154,UKENAN_AW_TP000016,8.62E-05,01/10/2021,
155,UKENAN_AW_TP000016,0.002154907,02/10/2021,
156,UKENAN_AW_TP000016,0.000455071,03/10/2021,
157,UKENAN_AW_TP000016,0.000584046,04/10/2021,
158,UKENAN_AW_TP000016,0.000178901,05/10/2021,
159,UKENAN_AW_TP000016,0.003482541,06/10/2021,
160,UKENAN_AW_TP000016,0.001142787,07/10/2021,
161,UKENAN_AW_TP000016,0.001467544,08/10/2021,
162,UKENAN_AW_TP000016,0.000989604,09/10/2021,
163,UKENAN_AW_TP000016,0.000236472,10/10/2021,
164,UKENAN_AW_TP000016,0.000460448,11/10/2021,
165,UKENAN_AW_TP000016,3.66E-05,12/10/2021,
166,UKENAN_AW_TP000016,0.00015601,13/10/2021,
167,UKENAN_AW_TP000016,0.001282644,14/10/2021,
168,UKENAN_AW_TP000016,0.001177935,15/10/2021,
169,UKENAN_AW_TP000016,0.000201497,16/10/2021,
170,UKENAN_AW_TP000016,4.93E-05,17/10/2021,
171,UKENAN_AW_TP000016,5.29E-06,18/10/2021,
172,UKENAN_AW_TP000016,5.36E-07,19/10/2021,
173,UKENAN_AW_TP000016,2.67E-06,20/10/2021,
174,UKENAN_AW_TP000016,0.000155277,21/10/2021,
175,UKENAN_AW_TP000016,1.28E-05,22/10/2021,
176,UKENAN_AW_TP000016,4.78E-07,23/10/2021,
177,UKENAN_AW_TP000016,0.000199366,24/10/2021,
178,UKENAN_AW_TP000016,0.000431045,25/10/2021,
179,UKENAN_AW_TP000016,3.28E-05,26/10/2021,
180,UKENAN_AW_TP000016,0.000547415,27/10/2021,
181,UKENAN_AW_TP000016,0.000123901,28/10/2021,
182,UKENAN_AW_TP000016,3.60E-05,29/10/2021,
183,UKENAN_AW_TP000016,1.43E-05,30/10/2021,
184,UKENAN_AW_TP000016,1.44E-05,31/10/2021,
185,UKENAN_AW_TP000016,8.74E-06,01/11/2021,
186,UKENAN_AW_TP000016,1.39E-05,02/11/2021,
187,UKENAN_AW_TP000016,0.000887647,03/11/2021,
188,UKENAN_AW_TP000016,0.006542559,04/11/2021,
189,UKENAN_AW_TP000016,0.003704761,05/11/2021,
190,UKENAN_AW_TP000016,0.001470522,06/11/2021,
191,UKENAN_AW_TP000016,0.002322134,07/11/2021,
192,UKENAN_AW_TP000016,0.002030286,08/11/2021,
193,UKENAN_AW_TP000016,0.000447218,09/11/2021,
194,UKENAN_AW_TP000016,0.00073229,10/11/2021,
195,UKENAN_AW_TP000016,0.0009978,11/11/2021,
196,UKENAN_AW_TP000016,0.000746437,12/11/2021,
197,UKENAN_AW_TP000016,0.005020198,13/11/2021,
198,UKENAN_AW_TP000016,0.000928256,14/11/2021,
199,UKENAN_AW_TP000016,0.000220427,15/11/2021,
200,UKENAN_AW_TP000016,3.18E-05,16/11/2021,
201,UKENAN_AW_TP000016,1.50E-06,17/11/2021,
202,UKENAN_AW_TP000016,3.55E-08,18/11/2021,
203,UKENAN_AW_TP000016,1.37E-06,19/11/2021,
204,UKENAN_AW_TP000016,0.000178583,20/11/2021,
205,UKENAN_AW_TP000016,0.001432908,21/11/2021,
206,UKENAN_AW_TP000016,0.000398392,22/11/2021,
207,UKENAN_AW_TP000016,8.06E-05,23/11/2021,
208,UKENAN_AW_TP000016,6.89E-06,24/11/2021,
209,UKENAN_AW_TP000016,0.00104987,25/11/2021,
210,UKENAN_AW_TP000016,0.003416615,26/11/2021,
211,UKENAN_AW_TP000016,0.000868575,27/11/2021,
212,UKENAN_AW_TP000016,0.002336368,28/11/2021,
213,UKENAN_AW_TP000016,0.002577022,29/11/2021,
214,UKENAN_AW_TP000016,0.000243783,30/11/2021,
215,UKENAN_AW_TP000016,0.005950933,01/12/2021,
216,UKENAN_AW_TP000016,0.000980857,02/12/2021,
217,UKENAN_AW_TP000016,5.34E-07,03/12/2021,
218,UKENAN_AW_TP000016,0.000147269,04/12/2021,
219,UKENAN_AW_TP000016,7.18E-05,05/12/2021,
220,UKENAN_AW_TP000016,0.002952287,06/12/2021,
221,UKENAN_AW_TP000016,0.000252119,07/12/2021,
222,UKENAN_AW_TP000016,0.00030658,08/12/2021,
223,UKENAN_AW_TP000016,8.21E-05,09/12/2021,
224,UKENAN_AW_TP000016,6.75E-06,10/12/2021,
225,UKENAN_AW_TP000016,2.37E-06,11/12/2021,
226,UKENAN_AW_TP000016,7.14E-05,12/12/2021,
227,UKENAN_AW_TP000016,1.57E-05,13/12/2021,
228,UKENAN_AW_TP000016,4.62E-05,14/12/2021,
229,UKENAN_AW_TP000016,2.79E-06,15/12/2021,
230,UKENAN_AW_TP000016,4.18E-07,16/12/2021,
231,UKENAN_AW_TP000016,1.16E-06,17/12/2021,
