site_code,site_name,site_type,water_company_name,catchment_population_ons_mid_2019,grab_compo_ind,Easting,Northing,region
UKENAN_AW_TP000200,NORWICH STW,SEWAGE TREATMENT PLANT,Anglian Water,265186,Grab,627841,307418,East of England
UKENAN_AW_TP000170,LOWESTOFT STW,SEWAGE TREATMENT PLANT,Anglian Water,75023,Composite,653429,297861,East of England
UKENAN_AW_TP000308,TILBURY STW TILBURY ESSEX,SEWAGE TREATMENT PLANT,Anglian Water,172752,Grab,565353,175767,East of England
UKENMI_ST_TP000163,NOTTINGHAM STW,SEWAGE TREATMENT PLANT,Severn Trent Water,545570,Grab,464729,342221,East Midlands
UKENNW_UU_TP000095,Hoylake NORTH WIRRAL MEOLS STW,SEWAGE TREATMENT PLANT,United Utilities Water,65669,Composite,324149,390251,North West
UKENAN_AW_TP000144,IPSWICH STW,SEWAGE TREATMENT PLANT,Anglian Water,155056,Grab,617466,241968,East of England
UKENNW_UU_TP000078,LEIGH STW,SEWAGE TREATMENT PLANT,United Utilities Water,73352,Composite,365809,399001,North West
UKENNW_UU_TP000076,LANCASTER STODDAY STW,SEWAGE TREATMENT PLANT,United Utilities Water,78193,Composite,345699,458711,North West
UKENAN_AW_TP000148,JAYWICK STW,SEWAGE TREATMENT PLANT,Anglian Water,21337,Grab,614064,214273,East of England
UKENSO_SW_TP000030,MAIDSTONE AND AYLESFORD STW,SEWAGE TREATMENT PLANT,Southern Water,119927,Composite,571975,159382,South East
UKENMI_ST_TP000074,DERBY STW,SEWAGE TREATMENT PLANT,Severn Trent Water,289963,Grab,439359,334491,East Midlands
UKENSO_SW_TP000011,TOTTON MARCHWOOD HYTHE CADNAM STW,SEWAGE TREATMENT PLANT,Southern Water,62083,Grab,438275,111125,South East
UKENAN_AW_TP000210,PETERBOROUGH STW,SEWAGE TREATMENT PLANT,Anglian Water,207747,Grab,521980,298342,East of England
UKENAN_AW_TP000069,MILTON KEYNES STW,SEWAGE TREATMENT PLANT,Anglian Water,247619,Grab,488411,240500,South East
UKENAN_AW_TP000050,CAMBRIDGE STW,SEWAGE TREATMENT PLANT,Anglian Water,161208,Grab,547187,261751,East of England
UKENSW_WXW_TP000100,WESTON SUPER MARE STW,SEWAGE TREATMENT PLANT,Wessex Water,85578,Composite,331469,156981,South West
UKENAN_AW_TP000107,NORTHAMPTON STW,SEWAGE TREATMENT PLANT,Anglian Water,254583,Grab,481616,261993,East Midlands
UKENTH_TWU_TP000103,LUTON STW,SEWAGE TREATMENT PLANT,Thames Water,77593,Grab,512349,217841,East of England
UKENMI_ST_TP000120,KIDDERMINSTER STW,SEWAGE TREATMENT PLANT,Severn Trent Water,92933,Grab,382559,273751,West Midlands
UKENSW_WXW_TP000005,BATH STW,SEWAGE TREATMENT PLANT,Wessex Water,108309,Composite,369299,168221,South West
UKENMI_ST_TP000186,SCUNTHORPE STW,SEWAGE TREATMENT PLANT,Severn Trent Water,87184,Grab,487449,405991,Yorkshire and The Humber
UKENMI_ST_TP000137,LOUGHBOROUGH STW,SEWAGE TREATMENT PLANT,Severn Trent Water,70451,Grab,453099,321301,East Midlands
UKENAN_AW_TP000293,WISBECH WEST WALTON STW,SEWAGE TREATMENT PLANT,Anglian Water,52411,Grab,545869,314163,East of England
UKENNW_UU_TP000012,BARROW IN FURNESS STW,SEWAGE TREATMENT PLANT,United Utilities Water,63158,Composite,321942,468543,North West
UKENSO_SW_TP000090,LITTLEHAMPTON AND BOGNOR STW,SEWAGE TREATMENT PLANT,Southern Water,128691,Composite,499695,103145,South East
UKENSW_WXW_TP000101,WEYMOUTH STW,SEWAGE TREATMENT PLANT,Wessex Water,73402,Composite,366380,76721,South West
UKENSO_SW_TP000008,FAREHAM AND GOSPORT HAMBLE HEDGE END PEEL COMMON STW,SEWAGE TREATMENT PLANT,Southern Water,246894,Composite,456846,103242,South East
UKENSO_SW_TP000028,DOVERFOLKSTONE STW,SEWAGE TREATMENT PLANT,Southern Water,113022,Composite,628575,139968,South East
UKENSO_SW_TP000026,ASHFORD STW,SEWAGE TREATMENT PLANT,Southern Water,87784,Composite,601950,143308,South East
UKENTH_TWU_TP000013,BASINGSTOKE WILDMOOR BASINGST STW,SEWAGE TREATMENT PLANT,Thames Water,113440,Grab,467999,155201,South East
UKENNE_YW_TP000057,SHEFFIELD BLACKBURN MEADOWS STW,SEWAGE TREATMENT PLANT,Yorkshire Water,486304,Grab,439589,391567,Yorkshire and The Humber
UKENTH_TWU_TP000113,LONDON Mogden STW,SEWAGE TREATMENT PLANT,Thames Water,1757742,Composite,515409,174721,London
UKENSW_SWS_TP000075,TORQUAY PAIGNTON BRIXHAM STW,SEWAGE TREATMENT PLANT,South West Water,132190,Composite,289699,56301,South West
UKENSO_SW_TP000004,PORTSMOUTH AND HAVANT STW,SEWAGE TREATMENT PLANT,Southern Water,359082,Composite,470951,105443,South East
UKENSW_SWS_TP000059,PLYMPTON STW,SEWAGE TREATMENT PLANT,South West Water,106232,Composite,252334,56403,South West
UKENMI_ST_TP000222,LEICESTER STW,SEWAGE TREATMENT PLANT,Severn Trent Water,534813,Grab,459849,311851,East Midlands
UKENMI_ST_TP000036,BRANCOTE STW,SEWAGE TREATMENT PLANT,Severn Trent Water,75427,Grab,395499,322271,West Midlands
UKENAN_AW_TP000161,LINCOLN STW,SEWAGE TREATMENT PLANT,Anglian Water,104925,Grab,499884,370410,East Midlands
UKENNW_UU_TP000124,NORTH WARRINGTON STW,SEWAGE TREATMENT PLANT,United Utilities Water,221811,Composite,358039,386891,North West
UKENNW_UU_TP000024,BURNLEY STW,SEWAGE TREATMENT PLANT,United Utilities Water,108436,Composite,382849,435121,North West
UKENSW_WXW_TP000004,BRISTOL STW,SEWAGE TREATMENT PLANT,Wessex Water,715693,Composite,353294,179291,South West
UKENMI_ST_TP000225,WARWICK STW,SEWAGE TREATMENT PLANT,Severn Trent Water,108418,Grab,427569,262891,West Midlands
UKENTH_TWU_TP000106,MAPLE LODGE BUCKS STW,SEWAGE TREATMENT PLANT,Thames Water,596582,Grab,504199,191941,London
UKENMI_ST_TP000056,BURTON ON TRENT STW,SEWAGE TREATMENT PLANT,Severn Trent Water,95926,Grab,426849,325511,West Midlands
UKENMI_ST_TP000199,SPERNAL STW,SEWAGE TREATMENT PLANT,Severn Trent Water,76481,Grab,408459,262631,West Midlands
UKENSO_SW_TP000025,CHATHAM AND GILLINGHAM STW,SEWAGE TREATMENT PLANT,Southern Water,253959,Grab,582959,168491,South East
UKENTH_TWU_TP000155,WOKING STW,SEWAGE TREATMENT PLANT,Thames Water,74864,Grab,503199,157401,South East
UKENTH_TWU_TP000122,READING STW,SEWAGE TREATMENT PLANT,Thames Water,192686,Grab,471099,170701,South East
