"","site_code","one_week_date","Log10_NoV_norm"
"2561","UKENSW_WXW_TP000004",2021-07-12,4.314193063
"2562","UKENSW_WXW_TP000004",2021-07-26,4.972731845
"2563","UKENSW_WXW_TP000004",2021-08-09,4.84303599
"2564","UKENSW_WXW_TP000004",2021-08-23,3.783023381
"2565","UKENSW_WXW_TP000004",2021-09-06,5.023324465
"2566","UKENSW_WXW_TP000004",2021-09-20,4.310048554
"2567","UKENSW_WXW_TP000004",2021-10-04,5.021300956
"2568","UKENSW_WXW_TP000004",2021-10-18,4.631843993
"2569","UKENSW_WXW_TP000004",2021-11-01,5.168561725
"2570","UKENSW_WXW_TP000004",2021-11-15,3.98427441
"2571","UKENSW_WXW_TP000004",2021-11-29,4.546089914
"2572","UKENSW_WXW_TP000004",2021-12-13,4.820864184
"2573","UKENSW_WXW_TP000004",2021-12-27,4.780727584
"2574","UKENSW_WXW_TP000004",2022-01-10,4.653304996
"2575","UKENSW_WXW_TP000004",2022-01-24,2.488326723
"2576","UKENSW_WXW_TP000004",2022-02-07,4.392130102
"2577","UKENSW_WXW_TP000004",2022-02-21,5.027968972
"2578","UKENSW_WXW_TP000004",2022-03-07,4.093935978
"2579","UKENSW_WXW_TP000004",2022-03-21,4.240399632
"2580","UKENSW_WXW_TP000005",2021-05-31,4.729654876
"2581","UKENSW_WXW_TP000005",2021-06-14,5.462411531
"2582","UKENSW_WXW_TP000005",2021-06-28,5.485437434
"2583","UKENSW_WXW_TP000005",2021-07-12,4.921169482
"2584","UKENSW_WXW_TP000005",2021-07-26,6.417367418
"2585","UKENSW_WXW_TP000005",2021-08-09,5.911387071
"2586","UKENSW_WXW_TP000005",2021-08-23,5.073329736
"2587","UKENSW_WXW_TP000005",2021-09-06,6.166123028
"2588","UKENSW_WXW_TP000005",2021-09-20,5.694308398
"2589","UKENSW_WXW_TP000005",2021-10-04,5.264436408
"2590","UKENSW_WXW_TP000005",2021-10-18,5.684147528
"2591","UKENSW_WXW_TP000005",2021-11-01,5.685741999
"2592","UKENSW_WXW_TP000005",2021-11-15,5.4262334
"2593","UKENSW_WXW_TP000005",2021-11-29,5.178558337
"2594","UKENSW_WXW_TP000005",2021-12-13,5.362323562
"2595","UKENSW_WXW_TP000005",2021-12-27,5.355891138
"2596","UKENSW_WXW_TP000005",2022-01-10,5.490448921
"2597","UKENSW_WXW_TP000005",2022-01-24,5.641982682
"2598","UKENSW_WXW_TP000005",2022-02-07,5.292398221
"2599","UKENSW_WXW_TP000005",2022-02-21,5.838942358
"2600","UKENSW_WXW_TP000005",2022-03-07,5.777003046
"2601","UKENSW_WXW_TP000005",2022-03-21,6.179185601
"2602","UKENSW_WXW_TP000038",2021-05-31,5.078979892
"2603","UKENSW_WXW_TP000038",2021-06-14,4.635824214
"2604","UKENSW_WXW_TP000038",2021-06-28,5.069649036
"2605","UKENSW_WXW_TP000038",2021-07-12,4.859663706
"2606","UKENSW_WXW_TP000038",2021-07-26,5.407781386
"2607","UKENSW_WXW_TP000038",2021-08-09,5.10880631
"2608","UKENSW_WXW_TP000038",2021-08-23,5.478608073
"2609","UKENSW_WXW_TP000038",2021-09-06,5.665301097
"2610","UKENSW_WXW_TP000038",2021-09-20,5.348812251
